Shift (um),Time stamps (s)
1.9978138707122213,5.740000051446259e-05
1.8671634571031852,71.29291879999982
1.865574777123884,142.7491323000013
1.7646779283578748,214.03426330000002
1.6775064359410887,285.5279422000003
2.0494218760318645,356.7848131999999
1.8503515316733896,427.93438980000064
2.0682182978620585,499.0302864000005
2.0059386372319423,570.3024934000005
1.9683551361341252,641.5722913999998
1.8331884255361626,712.8070918000012
2.0828993584307867,784.0862475000013
2.109909721371917,855.3733143999998
1.9091848395128235,926.7105718000003
2.039675626759278,997.9228430000003
2.1006378572079054,1069.1398881000005
1.7562779429539503,1140.4795378
2.1437359492565733,1211.5779189000004
2.171127971377768,1282.8932261999998
2.0101836878029378,1354.0676748000005
2.106891538431583,1425.1413525000007
1.8723881386529548,1496.2873770000006
1.6500979167760494,1567.5152619
1.8360677445889788,1638.5658989000003
1.9313902379667383,1709.6078887000003
1.5639586672180474,1780.7536235000007
1.778693051826881,1851.947936300001
1.8399313538613633,1923.1022725000003
1.7981570544935028,1994.2451723000013
1.661394303366741,2065.407393900001
