Shift (um),Time stamps (s)
2.077143720475454,6.159999975352548e-05
1.9680868661552928,71.45283019999988
2.1214586582164294,142.99182529999962
2.419560236762506,214.5294333999991
1.6670380645753449,285.86172839999927
1.7881046432132637,357.35095529999853
1.9586902052851718,428.8286546999989
1.8395394807563017,500.07507989999976
2.3708797407290056,571.1596442999999
2.457116866432515,642.8744876000001
1.8582685178348202,714.3514524999991
1.0316125496316566,785.8457808999992
1.6547548825653502,857.2202989999987
1.589449643805473,928.5866246999994
-0.8415652550623989,1000.0304658999994
1.652201574610923,1071.6736025999999
2.453590769273875,1143.1115167999997
2.515544928928504,1214.6007329999993
0.9648941380371028,1285.8704831999985
0.6280768921928548,1357.5995845999987
