Shift (um),Time stamps (s)
1.984130541718308,6.620000021939632e-05
2.0047500912593277,71.70727150000039
1.9807217013174085,143.13295040000048
2.613349456433573,214.18412739999985
2.3203299256026524,285.6757871
2.399634558294471,357.1875594000003
2.2904304451803954,428.81533260000015
2.1614795926090524,500.2086883000002
1.9509759614384938,571.6869715000003
1.8823552859798536,643.4199715000004
1.837052297662618,715.1650337000001
2.0769183346162645,786.5574051000003
2.423765342522536,857.8978974000001
2.1836345788231917,929.4719144000001
2.5902019091319834,1000.9577341000004
2.681659355941238,1072.3848815000001
2.3889093824593566,1143.7653373000003
2.196418918166632,1215.0760632000001
2.3725878986080424,1286.6040699999994
2.272272186550448,1358.2737653000004
2.595428196993577,1429.7043832
2.420253919410017,1501.0084318000008
2.2922645339386003,1572.3071065000004
2.243649494928974,1643.879688000001
2.029160943907165,1715.4072235000003
2.1341995886572303,1786.7081075000006
2.3142744571258103,1858.0549912000006
2.5087794860745145,1929.5812884000006
2.772490476295168,2001.1264425000008
1.8271079032074065,2072.806221500001
