Shift (um),Time stamps (s)
1.88176118411109,6.170000051497482e-05
1.9392597724870804,72.00213230000008
1.7720219763872862,143.9647769000003
1.8104052541829745,215.9052903999982
1.8292569419352187,287.90787909999926
1.7368577177179807,359.9158798999997
1.7157673992526083,431.50891520000005
1.7518006518838751,503.0449903999979
1.7102752674167858,574.4866175999996
1.6537140926421516,645.9613274000003
1.5243157499763074,717.4785349999984
1.4327594648090116,789.0912076999994
1.2158925393115663,860.753282499998
1.421393512844034,932.5100768000011
1.5675704757929663,1004.027349699998
1.2185991106895022,1075.768785100001
1.4316392826808548,1147.7077075999987
0.7952705926801173,1219.676055
0.5434839234194633,1291.2546723999985
1.2101688621912885,1362.8949662999985
0.5612523291297862,1434.5464382999999
0.38655718463922284,1506.0320595999983
1.2496034662023918,1577.5688788999978
0.6710575447023253,1648.9186752999994
0.7335593479755591,1720.4785053999985
-0.17926627558604658,1791.983285899998
1.039949557105139,1863.4135640999993
-0.4295188081860477,1935.0797454999993
0.6280592355384709,2006.6050161999992
-0.05821747451224191,2078.1506980000013
